title,text,label
चौंकाने वाली खोज,इस सेलिब्रिटी की गुप्त खोज को देखकर आप भविष्य बदल देंगे। यह जानकारी बड़ी कंपनियां छिपा रही हैं।,0
स्वास्थ्य संकट चेतावनी,चेतावनी: यह आम खाना आपके परिवार को जहर दे रहा है। सरकार नहीं चाहती कि आप जानें। इसे साझा करें।,0
चमत्कार इलाज,वैज्ञानिकों को यह 100% प्राकृतिक इलाज मिला जो सब कुछ बदल देगा। बड़ी फार्मा इसे दबाने की कोशिश कर रही है।,0
रोग का रहस्य,डॉक्टर यह एक अजीब ट्रिक छिपा रहे हैं। यह गुप्त सामग्री सभी बीमारियों को ठीक कर सकती है।,0
आश्चर्यजनक तथ्य,आप यह नहीं मानेंगे कि क्या हुआ। यह वीडियो 50 मिलियन बार देखा गया। फेसबुक इसे छिपाने की कोशिश कर रहा है।,0
षड्यंत्र का खुलासा,नई सबूत साबित करते हैं कि कोविड को वैज्ञानिकों ने प्रयोगशाला में बनाया था।,0
चुनाव में धोखाधड़ी,मतदान में असंख्य अनियमितताएं पाई गईं। अंदरूनी सूत्र बड़े स्तर पर धोखाधड़ी की बात कहते हैं।,0
सेलिब्रिटी की मौत,प्रसिद्ध गायक की मौत की खबरें लेकिन मीडिया छिपा रहा है। सच्चाई आपको चौंका देगी।,0
सरकार का षड्यंत्र,एजेंसी गुप्त बैठकों में टीके के दुष्प्रभावों को छिपा रही है।,0
टेक दिग्गज की साजिश,बिलियनेयर लोग वैक्सीन के माध्यम से माइक्रोचिप डालकर दुनिया पर कब्जा करने की योजना बना रहे हैं।,0
जलवायु रिपोर्ट जारी,वैज्ञानिकों ने व्यापक जलवायु परिवर्तन रिपोर्ट जारी की,1
व्यायाम के लाभ,नए शोध से साबित हुआ कि 30 मिनट का रोजाना व्यायाम बीमारी को कम करता है,1
सामुदायिक जल परियोजना,शहर ने ग्रामीण क्षेत्रों के लिए नई जल शुद्धिकरण प्रणाली लागू की,1
चिकित्सा सफलता,शोधकर्ताओं ने 10 साल के अध्ययन के बाद दुर्लभ रोग का इलाज विकसित किया,1
शिक्षा आंकड़े जारी,शिक्षा विभाग ने वार्षिक रिपोर्ट में स्कूल प्रदर्शन में सुधार की जानकारी दी,1
व्यापार समझौता,देश व्यापार और आर्थिक सहयोग पर समझौते पर पहुंचे,1
खिलाड़ी को पदक,एथलीट ने अंतर्राष्ट्रीय खेलों में स्वर्ण पदक जीता,1
विश्वविद्यालय को अनुदान,शीर्ष विश्वविद्यालय को पर्यावरण अनुसंधान परियोजनाओं के लिए धन मिला,1
बुनियादी ढांचे में सुधार,नहरी राजमार्ग और पुल समय से पहले पूरे हुए,1
स्वास्थ्य कार्यक्रम,सरकार ने दूरदराज क्षेत्रों तक पहुंचने वाली टीकाकरण प्रचार शुरू की,1
कृषि उत्पादन,टिकाऊ कृषि तरीकों से फसल पैदावार 25 प्रतिशत बढ़ी,1
नौकरी निर्माण,तकनीकी हब ने विकासशील क्षेत्र में 500 नौकरियां बनाईं,1
अस्पताल में नया विभाग,अस्पताल में उन्नत सर्जिकल केंद्र खोला गया,1
संसद ने शिक्षा सुधार,शिक्षा में स्कूल निधि बढ़ाने का कानून पारित हुआ,1
वन्यजीव संरक्षण,संरक्षित जंगल में लुप्तप्राय प्रजातियों की संख्या 30 प्रतिशत बढ़ी,1
झारखंड स्वास्थ्य अफवाह,झारखंड में आयुष्मान योजना बंद हो गई है,0
आयुष्मान कार्ड अफवाह,रांची में आयुष्मान कार्ड अब काम नहीं करेगा,0
हेल्थ कार्ड अफवाह,सरकार ने सभी हेल्थ कार्ड कैंसिल कर दिए हैं,0
मुफ्त इलाज अफवाह,आयुष्मान कार्ड से अब मुफ्त इलाज नहीं मिलेगा,0
स्वास्थ्य योजना अफवाह,झारखंड में स्वास्थ्य योजना बंद कर दी गई है,0
Ayushman rumor,Jharkhand me ayushman yojana band ho gayi,0
Ayushman card rumor,Ayushman card band ho gaya,0
Ranchi health rumor,Ranchi me ayushman card ab kaam nahi karega,0
Health card rumor,Sarkar ne health card cancel kar diya,0
Free treatment rumor,Ayushman card se free ilaj nahi milega,0
झारखंड स्वास्थ्य सूचना,झारखंड में आयुष्मान भारत योजना के तहत पात्र परिवारों को इलाज की सुविधा मिलती है,1
आयुष्मान कार्ड सूचना,आयुष्मान कार्ड से सूचीबद्ध अस्पतालों में इलाज कराया जा सकता है,1
Ayushman information,Jharkhand me ayushman yojana chal rahi hai,1
Ayushman hospital info,Ayushman card se hospital me ilaj mil sakta hai,1
Health benefit info,Eligible family ko ayushman card se health benefit milta hai,1
